Cuanexo,Submodalidad
020085900,Secundaria
020086000,Nivel inicial
020086000,Primaria
020086000,Secundaria
020086200,Primaria
020086200,Secundaria
020086400,Primaria
020086500,Secundaria
020086600,Nivel inicial
020086600,Primaria
020086600,Secundaria
020086600,No Universitario
020086700,Secundaria
020086700,No Universitario
020086800,Nivel inicial
020086800,Primaria
020086800,Secundaria
020086900,Primaria
020087000,No Universitario
020087100,Secundaria
020087200,Nivel inicial
020087201,Nivel inicial
020087202,Nivel inicial
020087300,Nivel inicial
020087300,Primaria
020087300,Secundaria
020087400,Primaria
020087500,Nivel inicial
020087500,Primaria
020087500,Secundaria
020087600,Secundaria
020087700,Primaria
020087800,Primaria
020087900,Nivel inicial
020087902,Nivel inicial
020087903,Nivel inicial
020088000,Primaria
020088100,Primaria
020088200,Primaria
020088300,Secundaria
020088400,Primaria
020088500,Nivel inicial
020088500,Primaria
020088500,Secundaria
020088600,Nivel inicial
020088600,Primaria
020088600,Secundaria
020088700,Primaria
020088800,Primaria
020088900,Nivel inicial
020089000,No Universitario
020089100,Nivel inicial
020089100,Primaria
020089200,Primaria
020089300,Primaria
020089400,Primaria
020089500,Primaria
020089500,No Universitario
020089501,Nivel inicial
020089502,Secundaria
020089600,Primaria
020089700,Nivel inicial
020089700,Primaria
020089700,Secundaria
020089800,Primaria
020089900,Nivel inicial
020089900,Primaria
020089900,Secundaria
020090100,Nivel inicial
020090200,Primaria
020090300,Secundaria
020090400,Nivel inicial
020090400,Primaria
020090400,Secundaria
020090600,Primaria
020090700,Primaria
020090900,Nivel inicial
020091000,Nivel inicial
020091000,Primaria
020091000,Secundaria
020091100,Secundaria
020091200,Nivel inicial
020091200,Primaria
020091200,Secundaria
020091400,Nivel inicial
020091400,Primaria
020091600,Nivel inicial
020091600,Primaria
020091800,Nivel inicial
020091800,Primaria
020091800,Secundaria
020092000,Secundaria
020092100,Nivel inicial
020092100,Primaria
020092200,Nivel inicial
020092200,Primaria
020092200,Secundaria
020092500,Nivel inicial
020092500,Primaria
020092500,Secundaria
020092600,Nivel inicial
020092600,Primaria
020092600,Secundaria
020092700,Primaria
020092800,Primaria
020092900,Primaria
020093000,Secundaria
020093001,Secundaria
020093100,Nivel inicial
020093101,Nivel inicial
020093102,Nivel inicial
020093103,Nivel inicial
020093104,Nivel inicial
020093105,Nivel inicial
020093200,Primaria
020093300,Primaria
020093400,Primaria
020093500,Primaria
020093600,Primaria
020093800,Primaria
020093900,Secundaria
020094000,Nivel inicial
020094000,Primaria
020094100,Primaria
020094200,Secundaria
020094300,Nivel inicial
020094300,Primaria
020094300,Secundaria
020094400,Secundaria
020094500,Nivel inicial
020094500,Primaria
020094500,Secundaria
020094700,Primaria
020094800,Nivel inicial
020094800,Primaria
020094900,Nivel inicial
020094900,Primaria
020094900,Secundaria
020095000,Secundaria
020095100,Nivel inicial
020095100,Primaria
020095100,Secundaria
020095300,Nivel inicial
020095400,Nivel inicial
020095401,Nivel inicial
020095402,Nivel inicial
020095500,Nivel inicial
020095500,Primaria
020095500,Secundaria
020095600,Nivel inicial
020095600,Primaria
020095600,Secundaria
020095700,Secundaria
020095800,Secundaria
020095900,Nivel inicial
020095900,Primaria
020095900,Secundaria
020096000,Nivel inicial
020096000,Primaria
020096000,Secundaria
020096100,Primaria
020096200,Nivel inicial
020096200,Primaria
020096600,Nivel inicial
020096600,Primaria
020096600,Secundaria
020096700,Nivel inicial
020096700,Primaria
020096700,Secundaria
020096800,Nivel inicial
020096800,Primaria
020096800,Secundaria
020096900,No Universitario
020097000,Primaria
020097100,Primaria
020097200,Primaria
020097300,Secundaria
020097400,Nivel inicial
020097400,Primaria
020097400,Secundaria
020097400,No Universitario
020097500,Nivel inicial
020097501,Nivel inicial
020097502,Nivel inicial
020097503,Nivel inicial
020097600,Nivel inicial
020097600,Primaria
020097600,Secundaria
020097700,Nivel inicial
020097700,Primaria
020097700,Secundaria
020097800,Nivel inicial
020097800,Primaria
020097800,Secundaria
020097900,Primaria
020098200,Primaria
020098300,Nivel inicial
020098300,Primaria
020098300,Secundaria
020098400,Primaria
020098500,Secundaria
020098600,Secundaria
020098700,Primaria
020098800,Nivel inicial
020098900,Nivel inicial
020098900,Primaria
020099000,Nivel inicial
020099000,Primaria
020099000,Secundaria
020099100,Primaria
020099200,Nivel inicial
020099400,Primaria
020099600,Primaria
020099700,Nivel inicial
020099700,Primaria
020099700,Secundaria
020099700,No Universitario
020099800,Nivel inicial
020099800,Primaria
020099800,Secundaria
020099900,Nivel inicial
020099900,Primaria
020099900,Secundaria
020100000,Primaria
020100100,Nivel inicial
020100400,Nivel inicial
020100400,Primaria
020100400,Secundaria
020100500,Primaria
020100700,Primaria
020100800,Primaria
020100900,Primaria
020101000,Secundaria
020101100,Secundaria
020101300,Primaria
020101400,Primaria
020101700,No Universitario
